weekIndicesStr,控制起止周,字符串,"7~8周"
startTime,上课时间,整数,1330
endTime,下课时间,整数,1500
courseName,课程的中文名称,字符串,"形势与政策5"
name*,排课的学生,字符串,"2022 机械2022-1;机械2022-2;机械2022-3;2022 测绘2022-1;测绘2022-2;2022 遥感2022"
name**,老师,字符串,"曾祥明"
